GeneSymbol,log2FC,pvalue,mean_severe,mean_non_severe,fdr,direction
BCL7A,0.5335532962545741,0.002885284328328634,6.707474217996212,6.1739209217416375,0.4429487615021118,up
SLC39A8,0.9455107591673269,0.002894143746788924,8.74490268547168,7.799391926304352,0.4429487615021118,up
SENP2,0.5571580359744166,0.002905204460326965,7.815565422021128,7.258407386046711,0.4429487615021118,up
TRIM21,-0.8002016350964336,0.0029405337426286135,7.681965283256337,8.482166918352771,0.4429487615021118,down
TRAFD1,-0.8406691914726778,0.0029462142125458784,9.458144951065133,10.298814142537811,0.4429487615021118,down
FAM98C,-0.28000525686289457,0.0029471988444332584,6.456355182354777,6.7363604392176715,0.4429487615021118,down
SLC12A2,0.8106738396467854,0.002958746285228519,7.676442712594861,6.865768872948076,0.4429487615021118,up
SCAPER,0.5453247003344952,0.0029670648672721674,7.125432416703852,6.580107716369357,0.4429487615021118,up
SLC17A9,0.5789308157980173,0.0029808028160973193,7.108359119935708,6.52942830413769,0.4429487615021118,up
SP7,1.2470086182044788,0.0029976798860297106,4.232862060688803,2.9858534424843244,0.4429487615021118,up
RARRES3,-0.6776988557344872,0.003060924763531505,9.706705323819264,10.384404179553751,0.4429487615021118,down
PKN1,-0.40751312271321805,0.0030713897531508554,6.889349707181691,7.296862829894909,0.4429487615021118,down
FUBP3,0.37114445123264517,0.0030739449434326995,8.678897680082699,8.307753228850054,0.4429487615021118,up
VPS18,-0.6582013923021615,0.0031484979191148356,6.440467716943412,7.098669109245574,0.4429487615021118,down
SLC46A3,-0.7085621163111178,0.0031930226941519774,8.73375213203677,9.442314248347888,0.4429487615021118,down
ANAPC4,-0.23651294648973575,0.00322840458372906,10.391147334127448,10.627660280617183,0.4429487615021118,down
PIK3R3,-0.5391757775606045,0.003255160320749835,5.424147705186698,5.9633234827473025,0.4429487615021118,down
GNB1,-0.3073144947966018,0.0032608161865987106,10.606892701452335,10.914207196248936,0.4429487615021118,down
NADSYN1,-0.5542527595254434,0.0032690124467050024,9.116661721625615,9.670914481151058,0.4429487615021118,down
LOC146513,1.2868792354018521,0.0033105587545275267,3.32973816661364,2.042858931211788,0.4429487615021118,up
SQRDL,-0.5675372240654326,0.003312315947755302,10.984432584898233,11.551969808963666,0.4429487615021118,down
EGR1,-1.6325733193622618,0.0033334729433147155,8.08469787910057,9.717271198462832,0.4429487615021118,down
C2,-1.46358664038529,0.0033518016099840465,5.6153321304982,7.07891877088349,0.4429487615021118,down
UCHL3,0.5883065726727894,0.003367838452029272,8.411199351475915,7.8228927788031255,0.4429487615021118,up
KCNE1,-1.7202211154177194,0.0034103764811209284,2.371725544431164,4.091946659848883,0.4429487615021118,down
PGAP2,0.38757332891463214,0.0034232855640247647,8.464588499850693,8.077015170936061,0.4429487615021118,up
SFXN3,-0.55352795890167,0.0034294591429911907,7.009828399582842,7.563356358484512,0.4429487615021118,down
U2SURP,0.4134695605506611,0.0034347954672087153,9.465532489867664,9.052062929317003,0.4429487615021118,up
COBLL1,1.6749439836210174,0.0034465349085468487,8.88345045460769,7.208506470986673,0.4429487615021118,up
MT1H,-0.9569672399693587,0.0034493169665758177,9.321992617038962,10.27895985700832,0.4429487615021118,down
LOC100134040,-1.348991635088192,0.0034920611406089584,2.4833666847213167,3.832358319809509,0.4429487615021118,down
CA6,1.0637849828670873,0.003495772060614578,5.792064218065332,4.728279235198245,0.4429487615021118,up
ZNF711,1.0225281161385231,0.0035351434383985194,7.3552401082676555,6.332711992129132,0.4429487615021118,up
HBS1L,0.6521831810066949,0.003548525618684817,9.2894605033927,8.637277322386005,0.4429487615021118,up
FZD1,-1.0783174239609634,0.0035527701412172187,6.373229959860408,7.451547383821372,0.4429487615021118,down
ASCL2,-1.608955737802022,0.0035587873563332744,6.336518752691257,7.945474490493279,0.4429487615021118,down
TPD52,1.3328303661453873,0.0035612014061249604,10.764657206668707,9.43182684052332,0.4429487615021118,up
GALNT6,-0.5669463457925046,0.0035667831135166484,5.757911064207824,6.3248574100003285,0.4429487615021118,down
ABCC4,0.7921536087851049,0.003608537190065769,8.413067984630986,7.6209143758458815,0.4429487615021118,up
ORMDL1,0.3537497848265563,0.00362199688481512,9.565650996407426,9.21190121158087,0.4429487615021118,up
